date:2016-05-11 19:35:35	thread:main	X-Track:	level:INFO 	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
date:2016-05-11 19:35:35	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:35:35	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:35:35	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:35:37	thread:main	X-Track:	level:INFO 	logger:com.example.SpringTxTimeoutApplication          	message:Started SpringTxTimeoutApplication in 13.109 seconds (JVM running for 15.527)
date:2016-05-11 19:35:53	thread:main	X-Track:	level:INFO 	logger:com.example.SpringTxTimeoutApplicationTests     	message:Starting SpringTxTimeoutApplicationTests on WP0082 with PID 3344 (D:\Users\UU092265\Documents\sts\spring-tx-timeout\target\test-classes started by UU092265 in D:\Users\UU092265\Documents\sts\spring-tx-timeout)
date:2016-05-11 19:35:53	thread:main	X-Track:	level:DEBUG	logger:com.example.SpringTxTimeoutApplicationTests     	message:Running with Spring Boot v1.3.3.RELEASE, Spring v4.2.5.RELEASE
date:2016-05-11 19:35:53	thread:main	X-Track:	level:INFO 	logger:com.example.SpringTxTimeoutApplicationTests     	message:No active profile set, falling back to default profiles: default
date:2016-05-11 19:36:01	thread:main	X-Track:	level:INFO 	logger:o.s.w.s.m.m.a.RequestMappingHandlerAdapter      	message:Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@c4f3a0: startup date [Wed May 11 19:35:53 JST 2016]; root of context hierarchy
date:2016-05-11 19:36:02	thread:main	X-Track:	level:INFO 	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
date:2016-05-11 19:36:02	thread:main	X-Track:	level:INFO 	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
date:2016-05-11 19:36:02	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:36:02	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:36:02	thread:main	X-Track:	level:INFO 	logger:o.s.web.servlet.handler.SimpleUrlHandlerMapping 	message:Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
date:2016-05-11 19:36:04	thread:main	X-Track:	level:INFO 	logger:com.example.SpringTxTimeoutApplicationTests     	message:Started SpringTxTimeoutApplicationTests in 11.579 seconds (JVM running for 13.395)
date:2016-05-11 19:36:04	thread:http-nio-7777-exec-1	X-Track:	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	message:FrameworkServlet 'dispatcherServlet': initialization started
date:2016-05-11 19:36:04	thread:http-nio-7777-exec-1	X-Track:	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	message:FrameworkServlet 'dispatcherServlet': initialization completed in 30 ms
date:2016-05-11 19:36:04	thread:http-nio-7777-exec-1	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:05	thread:http-nio-7777-exec-2	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:05	thread:http-nio-7777-exec-3	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:06	thread:http-nio-7777-exec-4	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:07	thread:http-nio-7777-exec-5	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:07	thread:http-nio-7777-exec-6	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
date:2016-05-11 19:36:07	thread:http-nio-7777-exec-7	X-Track:	level:WARN 	logger:org.springframework.web.servlet.PageNotFound    	message:Request method 'POST' not supported
